,Январь 2020,Февраль 2020,Март 2020,Апрель 2020,Май 2020,Июнь 2020,Июль 2020,Август 2020,Сентябрь 2020,Октябрь 2020,Ноябрь 2020,Декабрь 2020,Январь 2021,Февраль 2021,Март 2021,Апрель 2021,Май 2021,Июнь 2021,Июль 2021,Август 2021,Сентябрь 2021,Октябрь 2021,Ноябрь 2021,Декабрь 2021,Январь 2022,Февраль 2022,Март 2022,Апрель 2022,Май 2022,Июнь 2022,Июль 2022,Август 2022,Сентябрь 2022,Октябрь 2022,Ноябрь 2022,Декабрь 2022,Январь 2023,Февраль 2023,Март 2023,Апрель 2023
Карачаево-Черкесия,3,22,-29,13,114,182,109,3,43,123,190,187,243,74,31,15,16,18,138,171,169,273,311,178,175,212,72,10,-10,-1,-23,-10,9,30,18,29,28,-3,58,-21
Северная Осетия,10,-41,-40,55,379,103,53,5,58,186,378,357,221,48,-12,12,-4,0,176,339,333,610,642,405,196,316,69,-2,-26,-39,-53,15,61,38,71,120,-38,-85,113,-21
Чеченская Республика,17,60,55,122,350,493,568,286,201,173,382,427,141,28,30,28,66,112,351,411,242,388,370,387,313,313,81,78,82,40,59,72,132,65,71,127,51,56,125,-43
Ставропольский край,-137,-65,-60,-10,109,224,316,321,708,1179,1049,1600,1240,277,408,126,176,275,878,1460,1009,2033,2066,1125,674,1149,511,-58,50,-162,-145,108,226,82,10,239,60,-309,134,-216
Республика Башкортостан,-114,123,93,44,337,393,2537,734,1029,2537,2834,1925,1232,697,603,503,619,443,1323,2377,3341,5126,2384,896,481,1427,421,-228,15,-55,150,-182,302,225,171,667,718,-82,334,-149
Республика Марий Эл,0,15,19,-50,5,154,205,209,161,319,403,461,253,154,160,86,94,377,425,367,308,570,527,318,163,392,100,-19,30,45,66,82,80,86,130,176,164,50,125,57
Республика Мордовия,-21,48,-101,47,260,312,291,249,215,369,613,578,467,216,139,87,143,194,377,399,456,877,769,347,203,346,268,33,110,-32,79,93,203,38,65,84,-6,-2,142,-58
Республика Татарстан,-12,186,-20,-61,280,1152,2107,714,703,2087,2724,2142,1084,562,450,397,458,1223,1495,1996,2639,4809,2653,916,424,1411,559,-19,-53,-123,134,171,430,231,302,560,398,86,138,46
Удмуртская Республика,-43,34,39,-9,59,14,358,331,711,1126,645,680,387,288,217,283,204,251,418,682,900,1848,722,285,188,558,232,80,32,11,84,66,211,165,81,170,308,109,82,-29
Чувашская Республика,-72,116,28,44,247,508,601,212,284,458,704,833,557,261,159,120,217,609,527,654,584,1204,671,301,174,567,190,-67,-99,41,29,29,121,54,57,234,142,-25,32,-10
Пермский край,18,166,-74,-37,-42,188,906,194,561,1663,1851,1246,609,307,359,87,193,261,858,1809,1688,2702,1667,847,345,1009,549,-37,-40,-68,118,48,162,225,96,442,371,-58,124,-58
Кировская область,-110,50,-38,-26,0,-21,232,203,240,735,986,970,792,431,314,235,272,441,613,639,522,983,906,564,253,624,518,31,-7,-81,3,46,20,112,71,169,170,-150,1,-110
Нижегородская область,-174,198,158,-38,491,661,806,575,476,1475,2305,2454,1739,1028,856,306,673,2005,1856,1186,1223,3091,2600,1310,833,1668,620,-141,-38,-126,-165,99,415,254,95,429,313,-64,85,-194
Оренбургская область,18,27,-37,29,70,-67,1067,345,700,2021,1709,1003,628,353,257,275,304,171,912,1554,2457,3151,1415,590,168,600,383,-13,-9,-109,-27,13,312,39,65,340,335,-20,229,-62
Пензенская область,-78,111,23,138,536,410,431,238,397,850,813,774,588,423,201,178,300,585,873,688,804,1600,1110,534,215,505,323,47,142,28,90,109,226,109,149,353,88,48,105,-59
Самарская область,17,63,-64,0,353,504,1402,706,989,2779,2837,1992,1492,740,812,659,753,632,749,1366,1965,4089,2731,1336,736,1162,750,102,271,-3,187,295,458,336,293,665,627,57,102,18
Саратовская область,-12,61,161,20,192,307,789,430,529,1878,1951,1349,975,573,461,337,430,721,1102,1492,2099,4344,2287,1033,421,777,636,-63,-20,-104,-122,82,348,56,127,475,-2,-97,305,-159
Ульяновская область,8,142,-7,-60,128,266,437,272,378,826,968,730,448,294,314,186,393,500,524,590,718,1831,1209,510,295,440,383,5,184,44,95,32,192,162,160,172,150,53,69,-14
Курганская область,-80,-24,12,-35,-105,-25,418,145,66,642,630,430,400,198,146,21,112,110,468,563,474,1157,732,281,41,187,299,63,-31,-50,11,-10,63,107,82,236,127,-77,118,-29
Свердловская область,-289,76,167,-131,75,500,2579,475,486,1506,3161,2908,1466,682,646,400,397,685,2430,3000,2152,4169,3729,1879,329,1675,1056,68,-149,-65,198,-101,380,403,352,954,602,-123,329,-132
Ханты-Мансийский АО,-12,70,25,31,86,154,300,267,153,408,770,457,320,185,190,115,129,193,436,548,268,678,792,454,150,238,156,31,3,-23,-2,62,106,57,80,203,72,22,53,-19
Ямало-Hенецкий АО,-5,41,5,41,64,96,82,42,25,134,239,107,99,43,15,21,49,22,120,231,90,162,178,94,32,73,54,27,31,24,39,29,64,69,45,90,33,33,83,59
Тюменская область без АО,-97,-30,-38,-36,10,101,532,132,193,723,865,449,358,157,205,194,131,141,702,961,542,884,943,428,182,356,250,73,-35,-38,-27,27,78,62,100,354,150,-117,147,-82
Челябинская область,-179,60,-107,-112,-145,173,2139,570,751,2963,2826,1892,957,445,256,290,233,273,1346,2426,2715,4481,2689,963,170,1218,692,-180,-135,-201,-59,-84,262,287,187,489,224,-234,419,-252
Республика Алтай,-1,14,-4,24,-9,34,5,19,33,82,109,38,60,13,11,11,26,21,187,81,77,61,133,37,7,21,53,30,-5,35,11,37,63,15,27,34,22,5,14,-6
Республика Тыва,-14,30,30,-26,39,119,57,47,58,67,61,79,17,19,16,23,-2,11,162,60,53,68,89,78,43,92,56,37,46,49,8,22,58,35,50,130,105,75,135,40
Республика Хакасия,77,-26,-21,-18,-49,63,45,62,43,193,432,223,138,-34,45,21,39,55,288,251,212,403,482,289,164,226,117,-6,34,5,-16,33,113,71,3,136,117,-35,45,32
Алтайский край,-209,-151,-241,-120,-285,-30,277,180,409,2290,2149,1229,919,337,259,169,210,167,1535,1431,1069,1868,1995,1403,470,822,736,-74,-156,-220,-258,-87,130,-52,-33,431,-53,-285,-178,-366
Красноярский край,-69,-28,-64,-120,-35,400,512,287,160,1035,2321,1541,743,302,277,207,104,825,2378,1376,876,1305,2097,1823,803,1233,846,62,-75,-33,-62,88,172,142,84,460,303,30,124,-134
Иркутская область,-62,-12,-187,126,74,187,421,263,189,1130,1784,1041,709,258,155,254,327,807,2368,1081,676,1390,2071,1423,647,1127,553,53,13,50,-146,127,176,93,93,436,290,-120,229,-99
Кемеровская область,-246,-138,-86,-93,-147,4,335,210,463,2192,1896,877,437,8,156,108,50,310,2088,1621,884,1405,1878,1271,309,1030,183,-191,-226,-229,-234,-70,169,28,-133,662,115,-332,-104,-286
Новосибирская область,-83,-204,-75,-41,426,529,630,472,333,1552,2370,1225,760,289,243,208,276,1130,2962,1229,587,930,1538,1422,748,1114,439,-90,-8,-161,-150,4,204,30,75,599,102,-351,-190,-245
Омская область,34,-2,-111,-59,42,236,901,519,423,1353,1659,918,648,403,400,227,287,316,1187,1396,931,1702,1753,1089,498,866,461,131,22,90,-24,60,138,58,131,502,307,-102,192,11
Томская область,-75,29,76,26,-68,71,169,145,124,505,770,593,469,174,193,143,167,162,496,479,358,607,910,589,91,217,259,31,-37,-20,32,62,121,87,14,141,42,-42,57,-32
Республика Бурятия,-100,5,43,-61,-29,21,75,6,66,293,576,396,129,99,153,37,58,582,739,197,140,223,387,367,230,486,251,45,29,20,-11,79,132,88,70,241,45,53,176,5
Забайкальский край,35,14,46,-46,2,95,85,119,163,313,512,424,376,165,158,70,110,284,416,358,335,556,777,433,211,188,315,-9,38,6,-25,124,131,128,144,192,191,110,145,-52
Якутия,17,13,-60,9,18,65,139,184,209,447,400,280,180,81,106,76,109,235,230,331,468,746,495,287,159,205,126,24,54,68,66,69,56,145,144,115,59,-14,68,-9
Камчатский край,26,27,-28,-20,18,107,82,9,26,66,78,184,222,26,43,-14,26,106,232,175,70,88,84,56,73,121,37,21,24,-9,4,44,79,30,35,75,29,-4,2,4
Приморский край,-28,-60,-100,-101,105,10,96,79,159,427,1405,1579,795,82,65,-4,98,562,1470,606,339,563,882,981,880,655,620,20,-43,-65,-210,84,61,40,8,191,186,-110,158,-147
Хабаровский край,-59,-42,17,30,60,195,239,149,146,365,1069,1195,631,201,60,-15,51,157,747,502,315,527,822,907,512,302,350,-9,-17,-34,-136,25,60,-33,13,197,4,-50,139,-96
Амурская область,28,-115,-59,-4,21,34,147,115,133,314,733,598,448,48,110,72,88,234,309,310,295,433,729,565,220,80,186,0,2,-41,-36,-13,71,-21,14,136,-3,-92,48,-49
Магаданская область,-12,-14,27,-31,14,5,6,5,12,69,38,52,57,14,3,-14,34,23,95,72,56,63,66,57,23,30,29,1,17,-11,6,12,20,29,7,36,23,12,-2,-4
Сахалинская область,7,33,-58,-34,-26,8,88,62,25,161,185,296,217,67,40,-5,32,66,459,216,118,134,159,231,269,186,131,-8,9,-7,-33,-21,-24,13,61,51,99,41,35,-29
Еврейская АО,-26,14,-21,23,17,16,46,15,40,125,82,106,52,7,-17,14,9,19,117,113,124,141,139,99,94,54,49,39,31,23,15,6,20,1,19,21,16,26,25,21
Чукотский АО,-6,-8,-4,-4,13,2,5,-1,11,11,-2,16,5,-4,6,-7,0,-11,4,20,6,14,12,5,3,-3,2,1,-5,-4,1,8,-10,6,2,1,3,5,11,-2
