Country,Data type,COVID-19 deaths,Excess deaths,Excess deaths std,t-statistic,Undercount ratio,Excess per 100k,Excess as % of annual baseline
Netherlands,w,11399,15739,1396,11.3,1.38,91.9,10.0
New Zealand,w,25,-2119,304,7.0,nan,-43.9,-6.0
Nicaragua,m,137,nan,nan,nan,nan,nan,nan
North Macedonia,m,2503,5743,596,9.6,2.29,275.7,28.7
Norway,w,436,127,380,0.3,0.29,2.3,0.3
Oman,m,1499,1376,245,5.6,0.92,27.0,14.8
Panama,m,3975,2824,324,8.7,0.71,65.4,13.5
Paraguay,m,2242,1821,679,2.7,0.81,25.5,5.3
Peru,w,93192,87069,1531,56.9,0.93,264.1,68.6
Philippines,m,9244,-7661,5928,1.3,nan,-7.0,-1.2
Poland,w,28956,66817,4029,16.6,2.31,176.5,15.7
Portugal,w,6906,12014,1536,7.8,1.74,117.8,10.4
Qatar,m,245,363,55,6.6,1.48,12.6,16.2
Romania,w,18099,39073,2802,13.9,2.16,203.1,14.7
Russia,m,57555,359963,25528,14.1,6.25,245.3,20.4
Réunion,w,42,-23,91,0.3,nan,-2.6,-0.4
San Marino,m,59,82,23,3.5,1.39,241.8,31.7
Serbia,m,3211,16093,2634,6.1,5.01,233.5,15.9
Seychelles,m,0,-167,41,4.1,nan,-169.8,-19.9
Singapore,m,29,-245,310,0.8,nan,-4.2,-1.1
Slovakia,w,2138,6162,703,8.8,2.88,112.9,11.3
Slovenia,w,2981,3330,281,11.8,1.12,160.2,15.6
South Africa,w,28469,68556,nan,nan,2.41,115.6,13.8
South Korea,w,917,225,2282,0.1,0.25,0.4,0.1
Spain,w,53964,75372,4500,16.7,1.40,161.2,17.6
Sweden,w,9745,8967,775,11.6,0.92,88.8,9.8
Switzerland,w,7564,9539,796,12.0,1.26,110.2,13.9
Taiwan,m,7,-6340,4174,1.5,nan,-26.6,-3.5
Tajikistan,q,90,8997,1373,6.6,99.96,94.3,27.5
Thailand,m,63,903,8905,0.1,nan,1.3,0.2
Transnistria,m,473,619,179,3.4,1.31,133.0,9.1
Tunisia,w,4676,2610,965,2.7,0.56,22.1,3.6
Ukraine,m,18680,43119,9959,4.3,2.31,103.2,7.5
United Kingdom,w,73512,85540,6677,12.8,1.16,126.0,13.9
United States,w,349124,486102,12102,40.2,1.39,146.9,16.4
Uruguay,m,174,-2243,706,3.2,nan,-64.6,-6.4
Uzbekistan,m,614,17649,3255,5.4,28.74,52.7,11.2
