SortOrder,LocID,Notes,ISO3_code,ISO2_code,SDMX_code,LocTypeID,LocTypeName,ParentID,Location,VarID,Variant,Time,MidPeriod,PopMale,PopFemale,PopTotal,PopDensity
,1560,,,,,,,,African Union,7,Zero migration,2023,2023.5,729125.703,730854.832,1459980.535,49.411
,1560,,,,,,,,African Union,8,Constant mortality,2022,2022.5,711803.988,713626.792,1425430.779,48.242
,1560,,,,,,,,African Union,8,Constant mortality,2023,2023.5,728547.922,730323.855,1458871.776,49.373
,1560,,,,,,,,African Union,9,No change,2022,2022.5,711803.988,713626.792,1425430.779,48.242
,1560,,,,,,,,African Union,9,No change,2023,2023.5,728722.924,730493.636,1459216.56,49.385
,1560,,,,,,,,African Union,10,Momentum,2022,2022.5,706778.562,708735.068,1415513.63,47.906
,1560,,,,,,,,African Union,10,Momentum,2023,2023.5,713557.395,715720.297,1429277.693,48.372
,1560,,,,,,,,African Union,16,Instant replacement zero migration,2022,2022.5,706778.562,708735.068,1415513.63,47.906
,1560,,,,,,,,African Union,16,Instant replacement zero migration,2023,2023.5,713702.296,715849.087,1429551.383,48.381
,2080,,,,,,,,African Union: Central Africa,2,Medium,2015,2015.5,69661.175,70336.129,139997.305,26.568
,2080,,,,,,,,African Union: Central Africa,2,Medium,2016,2016.5,71873.589,72545.696,144419.285,27.407
,2080,,,,,,,,African Union: Central Africa,2,Medium,2017,2017.5,74179.091,74846.867,149025.958,28.281
,2080,,,,,,,,African Union: Central Africa,2,Medium,2018,2018.5,76518.615,77184.458,153703.073,29.169
,2080,,,,,,,,African Union: Central Africa,2,Medium,2019,2019.5,78905.934,79575.473,158481.408,30.076
,2080,,,,,,,,African Union: Central Africa,2,Medium,2020,2020.5,81339.958,82021.677,163361.636,31.002
,2080,,,,,,,,African Union: Central Africa,2,Medium,2021,2021.5,83804.204,84511.208,168315.412,31.942
,2080,,,,,,,,African Union: Central Africa,2,Medium,2022,2022.5,86320.474,87058.012,173378.487,32.903
,2080,,,,,,,,African Union: Central Africa,2,Medium,2023,2023.5,88949.399,89710.107,178659.506,33.905
,2080,,,,,,,,African Union: Central Africa,3,High,2022,2022.5,86394.628,87130.753,173525.38,32.931
,2080,,,,,,,,African Union: Central Africa,3,High,2023,2023.5,89173.202,89929.819,179103.022,33.989
,2080,,,,,,,,African Union: Central Africa,4,Low,2022,2022.5,86246.322,86985.271,173231.592,32.875
,2080,,,,,,,,African Union: Central Africa,4,Low,2023,2023.5,88725.596,89490.394,178215.991,33.821
,2080,,,,,,,,African Union: Central Africa,5,Constant fertility,2022,2022.5,86320.474,87058.012,173378.487,32.903
,2080,,,,,,,,African Union: Central Africa,5,Constant fertility,2023,2023.5,88970.867,89731.14,178702.007,33.913
,2080,,,,,,,,African Union: Central Africa,6,Instant replacement,2022,2022.5,85358.182,86113.613,171471.794,32.541
,2080,,,,,,,,African Union: Central Africa,6,Instant replacement,2023,2023.5,86064.051,86876.072,172940.122,32.82
,2080,,,,,,,,African Union: Central Africa,7,Zero migration,2022,2022.5,86328.563,87066.854,173395.416,32.906
,2080,,,,,,,,African Union: Central Africa,7,Zero migration,2023,2023.5,88973.614,89736.606,178710.22,33.915
,2080,,,,,,,,African Union: Central Africa,8,Constant mortality,2022,2022.5,86320.474,87058.012,173378.487,32.903
,2080,,,,,,,,African Union: Central Africa,8,Constant mortality,2023,2023.5,88929.727,89696.14,178625.867,33.899
,2080,,,,,,,,African Union: Central Africa,9,No change,2022,2022.5,86320.474,87058.012,173378.487,32.903
,2080,,,,,,,,African Union: Central Africa,9,No change,2023,2023.5,88951.178,89717.156,178668.334,33.907
,2080,,,,,,,,African Union: Central Africa,10,Momentum,2022,2022.5,85366.27,86122.453,171488.723,32.544
,2080,,,,,,,,African Union: Central Africa,10,Momentum,2023,2023.5,86069.505,86889.241,172958.747,32.823
,2080,,,,,,,,African Union: Central Africa,16,Instant replacement zero migration,2022,2022.5,85366.27,86122.453,171488.723,32.544
,2080,,,,,,,,African Union: Central Africa,16,Instant replacement zero migration,2023,2023.5,86087.833,86902.146,172989.979,32.829
,2081,,,,,,,,African Union: Eastern Africa,2,Medium,2015,2015.5,172039.617,173396.076,345435.693,54.164
,2081,,,,,,,,African Union: Eastern Africa,2,Medium,2016,2016.5,176852.16,178184,355036.16,55.67
,2081,,,,,,,,African Union: Eastern Africa,2,Medium,2017,2017.5,181709.331,183028.408,364737.74,57.191
,2081,,,,,,,,African Union: Eastern Africa,2,Medium,2018,2018.5,186608.59,187941.188,374549.779,58.729
,2081,,,,,,,,African Union: Eastern Africa,2,Medium,2019,2019.5,191660.511,193026.863,384687.373,60.319
,2081,,,,,,,,African Union: Eastern Africa,2,Medium,2020,2020.5,196851.682,198244.952,395096.634,61.951
,2081,,,,,,,,African Union: Eastern Africa,2,Medium,2021,2021.5,202049.464,203482.764,405532.227,63.587
,2081,,,,,,,,African Union: Eastern Africa,2,Medium,2022,2022.5,207245.874,208730.402,415976.275,65.225
,2081,,,,,,,,African Union: Eastern Africa,2,Medium,2023,2023.5,212514.646,214040.685,426555.33,66.884
,2081,,,,,,,,African Union: Eastern Africa,3,High,2022,2022.5,207446.679,208924.883,416371.562,65.287
,2081,,,,,,,,African Union: Eastern Africa,3,High,2023,2023.5,213121.967,214629.102,427751.069,67.071
,2081,,,,,,,,African Union: Eastern Africa,4,Low,2022,2022.5,207045.076,208535.927,415581.003,65.163
,2081,,,,,,,,African Union: Eastern Africa,4,Low,2023,2023.5,211907.361,213452.302,425359.664,66.696
,2081,,,,,,,,African Union: Eastern Africa,5,Constant fertility,2022,2022.5,207245.874,208730.402,415976.275,65.225
,2081,,,,,,,,African Union: Eastern Africa,5,Constant fertility,2023,2023.5,212576.28,214100.321,426676.6,66.903
,2081,,,,,,,,African Union: Eastern Africa,6,Instant replacement,2022,2022.5,205677.095,207211.744,412888.839,64.741
,2081,,,,,,,,African Union: Eastern Africa,6,Instant replacement,2023,2023.5,207826.349,209500.209,417326.557,65.437
,2081,,,,,,,,African Union: Eastern Africa,7,Zero migration,2022,2022.5,207319.582,208796.937,416116.519,65.247
,2081,,,,,,,,African Union: Eastern Africa,7,Zero migration,2023,2023.5,212738.938,214243.553,426982.492,66.951
,2081,,,,,,,,African Union: Eastern Africa,8,Constant mortality,2022,2022.5,207245.874,208730.402,415976.275,65.225
,2081,,,,,,,,African Union: Eastern Africa,8,Constant mortality,2023,2023.5,212471.628,214006.952,426478.579,66.872
,2081,,,,,,,,African Union: Eastern Africa,9,No change,2022,2022.5,207245.874,208730.402,415976.275,65.225
,2081,,,,,,,,African Union: Eastern Africa,9,No change,2023,2023.5,212533.179,214066.507,426599.686,66.891
,2081,,,,,,,,African Union: Eastern Africa,10,Momentum,2022,2022.5,205750.805,207278.277,413029.083,64.763
,2081,,,,,,,,African Union: Eastern Africa,10,Momentum,2023,2023.5,208008.505,209670.424,417678.93,65.492
,2081,,,,,,,,African Union: Eastern Africa,16,Instant replacement zero migration,2022,2022.5,205750.805,207278.277,413029.083,64.763
,2081,,,,,,,,African Union: Eastern Africa,16,Instant replacement zero migration,2023,2023.5,208048.685,209701.17,417749.856,65.503
,2082,,,,,,,,African Union: Northern Africa,2,Medium,2015,2015.5,98148.627,95986.841,194135.467,27.926
,2082,,,,,,,,African Union: Northern Africa,2,Medium,2016,2016.5,99972.47,97783.361,197755.831,28.447
,2082,,,,,,,,African Union: Northern Africa,2,Medium,2017,2017.5,101766.313,99556.311,201322.623,28.96
,2082,,,,,,,,African Union: Northern Africa,2,Medium,2018,2018.5,103517.139,101291.694,204808.833,29.461
,2082,,,,,,,,African Union: Northern Africa,2,Medium,2019,2019.5,105206.019,102969.554,208175.573,29.945
,2082,,,,,,,,African Union: Northern Africa,2,Medium,2020,2020.5,106857.648,104618.239,211475.888,30.42
,2082,,,,,,,,African Union: Northern Africa,2,Medium,2021,2021.5,108462.585,106232.924,214695.508,30.883
,2082,,,,,,,,African Union: Northern Africa,2,Medium,2022,2022.5,110023.75,107808.131,217831.881,31.335
,2082,,,,,,,,African Union: Northern Africa,2,Medium,2023,2023.5,111580.421,109379.56,220959.981,31.784
,2082,,,,,,,,African Union: Northern Africa,3,High,2022,2022.5,110127.264,107906.874,218034.138,31.364
,2082,,,,,,,,African Union: Northern Africa,3,High,2023,2023.5,111891.121,109675.966,221567.087,31.872
,2082,,,,,,,,African Union: Northern Africa,4,Low,2022,2022.5,109920.236,107709.389,217629.625,31.305
,2082,,,,,,,,African Union: Northern Africa,4,Low,2023,2023.5,111269.721,109083.154,220352.875,31.697
,2082,,,,,,,,African Union: Northern Africa,5,Constant fertility,2022,2022.5,110023.75,107808.131,217831.881,31.335
,2082,,,,,,,,African Union: Northern Africa,5,Constant fertility,2023,2023.5,111596.375,109394.792,220991.166,31.789
,2082,,,,,,,,African Union: Northern Africa,6,Instant replacement,2022,2022.5,109762.264,107558.584,217320.848,31.261
,2082,,,,,,,,African Union: Northern Africa,6,Instant replacement,2023,2023.5,110810.414,108644.669,219455.084,31.568
,2082,,,,,,,,African Union: Northern Africa,7,Zero migration,2022,2022.5,110045.319,107825.257,217870.576,31.34
,2082,,,,,,,,African Union: Northern Africa,7,Zero migration,2023,2023.5,111645.69,109431.532,221077.222,31.801
,2082,,,,,,,,African Union: Northern Africa,8,Constant mortality,2022,2022.5,110023.75,107808.131,217831.881,31.335
,2082,,,,,,,,African Union: Northern Africa,8,Constant mortality,2023,2023.5,111560.402,109360.777,220921.179,31.779
,2082,,,,,,,,African Union: Northern Africa,9,No change,2022,2022.5,110023.75,107808.131,217831.881,31.335
,2082,,,,,,,,African Union: Northern Africa,9,No change,2023,2023.5,111576.35,109376.004,220952.354,31.783
,2082,,,,,,,,African Union: Northern Africa,10,Momentum,2022,2022.5,109783.835,107575.711,217359.546,31.267
,2082,,,,,,,,African Union: Northern Africa,10,Momentum,2023,2023.5,110855.61,108677.803,219533.413,31.579
,2082,,,,,,,,African Union: Northern Africa,16,Instant replacement zero migration,2022,2022.5,109783.835,107575.711,217359.546,31.267
,2082,,,,,,,,African Union: Northern Africa,16,Instant replacement zero migration,2023,2023.5,110875.594,108696.558,219572.152,31.585
,2083,,,,,,,,African Union: Southern Africa,2,Medium,2015,2015.5,80873.951,85155.959,166029.911,28.063
,2083,,,,,,,,African Union: Southern Africa,2,Medium,2016,2016.5,82776.402,87085.362,169861.764,28.71
,2083,,,,,,,,African Union: Southern Africa,2,Medium,2017,2017.5,84497.127,88940.854,173437.981,29.315
,2083,,,,,,,,African Union: Southern Africa,2,Medium,2018,2018.5,86526.773,90981.768,177508.54,30.003
,2083,,,,,,,,African Union: Southern Africa,2,Medium,2019,2019.5,88601.835,93068.484,181670.319,30.706
,2083,,,,,,,,African Union: Southern Africa,2,Medium,2020,2020.5,90690.64,95162.708,185853.349,31.413
,2083,,,,,,,,African Union: Southern Africa,2,Medium,2021,2021.5,92723.247,97198.543,189921.791,32.101
,2083,,,,,,,,African Union: Southern Africa,2,Medium,2022,2022.5,94714.128,99186.596,193900.724,32.773
